507,"MIAH","Ahad",356,1413,1,60
508,"MILLS","Grenville",364,1413,1,70
509,"SCOTT","Robert",148,1413,1,80
510,"VENPIN","John Raphael",103,1413,1,90
511,"BURGESS","Paul",103,1415,1,10
512,"COX","David",103,1415,1,20
513,"FISH","Simon James Peter",65,1415,1,30
514,"GIBBS","Carlo",148,1415,1,40
515,"HARRISSON","Clare",148,1415,1,50
516,"KHAN","Azizur Rahman",153,1415,1,60
517,"MIAH","Abjol",356,1415,1,70
518,"MIAH","Sanu",148,1415,1,80
519,"MUSTAQUIM","Muhammad Ansar",356,1415,1,90
520,"ROWLANDS","Leonard",NULL,1415,1,100
521,"SPRINGER","Bertlyn Vernessa",364,1415,1,110
522,"THOMPSON","Adrian Charles",65,1415,1,120
523,"WATTS","Rachel Elizabeth",65,1415,1,130
524,"ZAMAN","Aktaruz",356,1415,1,140
525,"AKHTAR","Sabina",148,1420,1,10
526,"CHOUDHURY","Alibor",356,1420,1,20
527,"CLARKE","Hilary",103,1420,1,30
528,"DONKIN","Martin Peter",153,1420,1,40
529,"MANN","Hugo Ciaran",65,1420,1,50
530,"MCQUEEN","Nicholas",364,1420,1,60
531,"OBAZE","Victoria",148,1420,1,70
532,"RAHMAN","Oliur",356,1420,1,80
533,"WILFORD","Chris",65,1420,1,90
534,"AHMED","Kabir",356,1424,1,10
535,"CHILDS","Maureen",103,1424,1,20
536,"DZIEDZAN","Alex",153,1424,1,30
537,"KHAN","Yousuf",356,1424,1,40
538,"MCQUEEN","Pauline",364,1424,1,50
539,"MUKIT","Abdul Chunu",148,1424,1,60
540,"OUNSWORTH","Luke",65,1424,1,70
541,"PIERCE","John",148,1424,1,80
542,"PIERRE","Hugo",NULL,1424,1,90
543,"SMITH","Chris",103,1424,1,100
544,"TAGGART","Louise",65,1424,1,110
545,"AHMED","Faruque Mahfuz",148,1428,1,10
546,"ALI","Shahed",356,1428,1,20
547,"ASAD","Abul",356,1428,1,30
548,"CROSBIE","Maggie",103,1428,1,40
549,"GLOVER","Dinah",65,1428,1,50
550,"GRIFFITHS","John David Macleod",153,1428,1,60
551,"HOLDEN","Richard John",65,1428,1,70
552,"KHAN","Aminur",356,1428,1,80
553,"MCNEILIS","Andrew John",364,1428,1,90
554,"RAHMAN","Jamalur",148,1428,1,100
555,"ROBINSON","Robert",148,1428,1,110
556,"VANDYCE","Nicholas Donald Anthony",65,1428,1,120
557,"WRACK","Michael",NULL,1428,1,130
NULL,"PEERS","John",357,1248,1,91
NULL,"KENYON PEERS","Ellen",357,1248,1,69
NULL,"GUTTMANN","Katy",103,1248,1,41
NULL,"CLARKE","Stephen",153,1248,1,21
NULL,"AHMED","Kabir",356,1248,1,1
NULL,"AKTARUZZAMAN","Mohammed",356,1248,1,2
NULL,"BAGSHAW","Elaine",153,1248,1,4
NULL,"REGISTE","Anthony",364,1248,1,111
NULL,"SHEA","Paul",364,1248,1,130
NULL,"SMITH","Chris",103,1248,1,141
NULL,"THIENEL","Gloria",65,1248,1,150
